corr,step0
0.0,3.1804287573322654e-05
0.0421,3.2581872801529244e-05
0.0842,3.31664014083799e-05
0.1263,3.343890784890391e-05
0.1684,3.434814061620273e-05
0.2105,3.511074828566052e-05
0.2526,3.519784877425991e-05
0.2947,3.5081448004348204e-05
0.3368,3.4691442124312744e-05
0.3789,3.4796514228219166e-05
0.4211,3.4524131478974596e-05
0.4632,3.4420107112964615e-05
0.5053,3.4417305869283155e-05
0.5474,3.3886997698573396e-05
0.5895,3.384256342542358e-05
0.6316,3.353181455167942e-05
0.6737,3.378268957021646e-05
0.7158,3.3151445677503943e-05
0.7579,3.2739295420469716e-05
0.8,3.2159790862351656e-05
0.8222,3.207592453691177e-05
0.8444,3.2067899155663326e-05
0.8667,3.2499385270057246e-05
0.8889,3.257714706705883e-05
0.9111,3.222348095732741e-05
0.9333,3.1577761546941474e-05
0.9556,3.021800148417242e-05
0.9778,2.8723998184432276e-05
1.0,2.3721226170891896e-05
