corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,2.974148992507253e-05,2.8843011023127474e-05,2.883017441490665e-05,3.0387085644179024e-05,2.6406301913084462e-05,2.725103695411235e-05,2.4207711248891428e-05,2.2875203285366297e-05,1.7648813809501007e-05,4.3216341509833e-06
0.0421,2.756893627520185e-05,2.667729313543532e-05,3.071739411097951e-05,3.0124661861918867e-05,2.6202789740636945e-05,2.9414328309940174e-05,2.352370211156085e-05,2.0501427570707165e-05,1.518566205049865e-05,1.1161455404362641e-05
0.0842,2.976382165797986e-05,2.869486706913449e-05,3.0010744012543e-05,3.312439366709441e-05,2.716613198572304e-05,2.9347151212277822e-05,2.3905280613689683e-05,2.3507540390710346e-05,1.522335696790833e-05,6.009102889947826e-06
0.1263,2.354529351578094e-05,3.1951531127560884e-05,2.8689484679489397e-05,2.934095755335875e-05,3.0039462217246182e-05,2.958228469651658e-05,2.3957760276971385e-05,2.4347680664504878e-05,1.3981175470689777e-05,5.348370905267075e-06
0.1684,2.606293128337711e-05,3.328666207380593e-05,2.818936809489969e-05,3.0315959520521574e-05,2.8277958335820585e-05,2.9940929380245507e-05,2.3657803467358463e-05,2.6393858206574805e-05,1.3962769116915297e-05,1.117855754273478e-05
0.2105,2.9616750907734968e-05,3.2362826459575444e-05,2.468903039698489e-05,3.162861685268581e-05,2.6983283532899804e-05,3.110651232418604e-05,2.314802804903593e-05,2.2316875401884317e-05,1.5557778169750236e-05,1.260241879208479e-05
0.2526,2.7714084353647195e-05,3.1614537874702364e-05,2.5647430447861552e-05,2.971671892737504e-05,2.8531452699098736e-05,2.8273781936150044e-05,2.7983040126855485e-05,2.046542431344278e-05,1.331408930127509e-05,4.928473117615795e-06
0.2947,2.88010105577996e-05,2.580746149760671e-05,2.2863263438921422e-05,3.028230094059836e-05,2.8672453481703997e-05,2.7825961296912283e-05,2.6255396733176894e-05,2.111954199790489e-05,1.4829886822553817e-05,1.481310846429551e-05
0.3368,3.109298995696008e-05,2.7871874408447184e-05,2.521639362385031e-05,2.895751822507009e-05,2.669797140697483e-05,2.8595040930667892e-05,3.0997929570730776e-05,2.2655776774627157e-05,1.3004821084905416e-05,1.5313056792365387e-05
0.3789,3.2914271287154406e-05,2.7108682843390852e-05,2.9378417821135372e-05,2.9849446946172975e-05,2.53371472354047e-05,2.690557812456973e-05,2.503028736100532e-05,2.1916894183959812e-05,1.3710524399357382e-05,1.4811480468779337e-05
0.4211,3.373434083187021e-05,2.96267189696664e-05,2.734505142143462e-05,2.9147538953111507e-05,2.5278643079218455e-05,2.774983659037389e-05,2.665026840986684e-05,1.9920385966543108e-05,1.3199150089349132e-05,1.4140703569864854e-05
0.4632,3.0424789656535722e-05,2.8003791157971136e-05,3.0801675166003406e-05,2.945597589132376e-05,2.3172666260506958e-05,2.988647793245036e-05,2.6459827495273203e-05,2.0171626601950265e-05,1.254302969755372e-05,1.5280280422302894e-05
0.5053,3.443561581661925e-05,3.096741056651808e-05,2.800526999635622e-05,2.610825322335586e-05,2.6298617740394548e-05,2.7308185963192955e-05,2.6426798285683617e-05,1.857288953033276e-05,1.2910687473777216e-05,1.4986721907916944e-05
0.5474,3.715119601110928e-05,2.8914269933011383e-05,2.7249829145148396e-05,2.8803768145735376e-05,2.9312735932762735e-05,2.575757389422506e-05,2.285496157128364e-05,2.366906664974522e-05,1.2102921573386993e-05,1.3796066014037933e-05
0.5895,3.931237733922899e-05,3.366703458596021e-05,2.9965643989271484e-05,2.6675228582462296e-05,2.801743903546594e-05,2.4819841200951487e-05,2.246530493721366e-05,1.8524517145124264e-05,1.3115014553477522e-05,1.5782246919116005e-05
0.6316,4.057292244397104e-05,2.9484101105481386e-05,2.826962008839473e-05,2.3998994947760366e-05,2.6142846763832495e-05,2.316944119229447e-05,2.7934202080359682e-05,1.858213909144979e-05,1.2749805136991199e-05,1.5059676115924958e-05
0.6737,4.019851621706039e-05,2.846981442417018e-05,2.7482843506732024e-05,2.45912597165443e-05,2.7404332286096178e-05,2.272875644848682e-05,2.129964741470758e-05,1.751668969518505e-05,1.1328303116897587e-05,1.4202369129634462e-05
0.7158,4.3289644963806495e-05,3.1576248147757724e-05,2.6323064957978204e-05,2.996187686221674e-05,2.4979184672702104e-05,2.1646461391355842e-05,2.0358949768706225e-05,1.801730104489252e-05,1.3580222002929077e-05,1.2888994206150528e-05
0.7579,3.680908412206918e-05,3.01196523651015e-05,2.2577580239158124e-05,2.6203872039332055e-05,2.5500890842522494e-05,2.2402899048756808e-05,2.07409611903131e-05,1.723735113046132e-05,1.1874381016241387e-05,1.1395989531592932e-05
0.8,4.494057429837994e-05,2.881398359022569e-05,2.3133841750677675e-05,2.2736840037396178e-05,2.600554216769524e-05,1.8794020434143022e-05,1.832013003877364e-05,1.7019143342622556e-05,1.1411728337407112e-05,1.0339982509321999e-05
0.8222,4.633529533748515e-05,3.0071621949900873e-05,2.1868558178539388e-05,3.106641088379547e-05,2.2728723706677556e-05,1.9972243535448797e-05,1.8740660379990004e-05,1.77780839294428e-05,1.2912540114484727e-05,9.767356459633447e-06
0.8444,4.335780977271497e-05,2.664774547156412e-05,2.3282736947294325e-05,2.7201222110306844e-05,2.269418655487243e-05,2.038834099948872e-05,1.9678878743434325e-05,1.6004416465875693e-05,1.293065997742815e-05,9.428395969734993e-06
0.8667,4.0653871110407636e-05,2.72185388894286e-05,2.3684578991378658e-05,2.4002800273592584e-05,1.8867411199607886e-05,1.9704575606738217e-05,2.6038387659355067e-05,1.9088067347183824e-05,1.3045591913396493e-05,9.500186934019439e-06
0.8889,4.4407675886759534e-05,2.7170703106094152e-05,2.2374453692464158e-05,2.1799096430186182e-05,1.9895021978300065e-05,1.813545350159984e-05,2.739935735007748e-05,1.6472500647068955e-05,1.1378036106179934e-05,7.90906142356107e-06
0.9111,4.2335126636317e-05,2.563528687460348e-05,2.450885767757427e-05,2.0244082406861708e-05,2.004630550800357e-05,1.8970766177517362e-05,1.7239599401364103e-05,1.5106345927051734e-05,1.137710569310002e-05,6.8815593294857536e-06
