corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,4.836092921323143e-05,4.5406646677292883e-05,4.0364302549278364e-05,4.5181132009020075e-05,3.5438053600955755e-05,4.437443567439914e-05,2.7948650313192047e-05,2.9437984267133288e-05,2.1356716388254426e-05,1.9257184248999692e-05
0.0421,5.3599884267896414e-05,5.795223478344269e-05,5.207143476582132e-05,4.5118238631403074e-05,3.9352285966742784e-05,3.347463643876836e-05,3.362917777849361e-05,2.818810571625363e-05,3.325478610349819e-05,6.372967618517578e-06
0.0842,5.9951256844215095e-05,4.864417860517278e-05,4.757273563882336e-05,5.115007297717966e-05,3.609656778280623e-05,3.580587144824676e-05,2.9867576813558117e-05,2.7404003049014136e-05,4.455906309885904e-05,1.0909312550211325e-05
0.1263,6.840868445578963e-05,5.477902232087217e-05,4.460234413272701e-05,4.580029781209305e-05,4.2791874875547364e-05,3.67032662325073e-05,3.2745640055509284e-05,3.140931949019432e-05,5.241459803073667e-05,2.09490299312165e-05
0.1684,5.410675294115208e-05,5.527859684661962e-05,4.6942564949858934e-05,4.6273045882117e-05,3.744374043890275e-05,3.986365845776163e-05,3.655348336906172e-05,2.8993501473451033e-05,4.7527420974802226e-05,2.3433141905115917e-05
0.2105,5.083091673441231e-05,4.986820204067044e-05,4.6211574954213575e-05,4.829420868190937e-05,3.805738379014656e-05,4.208952668705024e-05,3.3015407097991556e-05,3.485979323158972e-05,4.898596671409905e-05,2.2025153157301247e-05
0.2526,5.135591345606372e-05,5.4424064728664234e-05,4.406691004987806e-05,3.758670573006384e-05,3.3485135645605624e-05,3.882667078869417e-05,3.784341606660746e-05,3.0002383937244304e-05,5.3865260269958526e-05,1.8370608813711442e-05
0.2947,6.253800529520959e-05,4.70877239422407e-05,4.2904441215796396e-05,4.1254290408687666e-05,3.702607500599697e-05,4.0752805944066495e-05,3.660685979411937e-05,3.094354906352237e-05,5.424755363492295e-05,2.0737543309223838e-05
0.3368,6.076723730075173e-05,4.802224430022761e-05,4.644355067284778e-05,3.636279870988801e-05,3.1261632102541625e-05,4.0746464947005734e-05,4.0701655962038785e-05,3.2361400371883065e-05,4.818431625608355e-05,1.5487381460843608e-05
0.3789,5.189893636270426e-05,4.974061812390573e-05,3.966379881603643e-05,3.707123687490821e-05,3.256884519942105e-05,4.0769431507214904e-05,4.134841947234236e-05,3.2967313018161803e-05,5.098089241073467e-05,1.976893145183567e-05
0.4211,5.02297370985616e-05,4.5661428885068744e-05,4.0726423321757466e-05,3.7617286579916254e-05,3.858522904920392e-05,4.34598587162327e-05,3.809859117609449e-05,3.551623740349896e-05,4.434663787833415e-05,1.8262435332871974e-05
0.4632,5.28299315192271e-05,5.922156560700387e-05,4.764424738823436e-05,3.462170934653841e-05,3.4502878406783566e-05,3.937806104659103e-05,3.5623037547338754e-05,3.155787999276072e-05,5.873342524864711e-05,1.7672626199782826e-05
0.5053,6.237377237994224e-05,6.501651660073549e-05,4.6072625991655514e-05,3.5358767490834e-05,3.59363439201843e-05,4.1799296013778076e-05,3.6757039197254926e-05,2.9004460884607397e-05,5.7792090956354514e-05,1.8876722606364638e-05
0.5474,5.401960152084939e-05,5.311507993610576e-05,4.434995571500622e-05,3.483422551653348e-05,3.545925210346468e-05,3.9142571040429175e-05,4.202002310194075e-05,2.8238771847099997e-05,5.130266072228551e-05,1.8702499801293015e-05
0.5895,5.597480776486918e-05,5.3655723604606465e-05,3.905422636307776e-05,3.743970228242688e-05,3.868263229378499e-05,4.230114791425876e-05,3.305363134131767e-05,3.0279172278824262e-05,5.007066283724271e-05,1.6987269191304222e-05
0.6316,5.587689156527631e-05,4.662291030399501e-05,4.0324048313777894e-05,3.398755507078022e-05,4.3545816879486665e-05,5.4864329285919666e-05,3.063184703933075e-05,2.775587563519366e-05,4.038220868096687e-05,1.7079784811357968e-05
0.6737,5.734690421377309e-05,4.2984902393072844e-05,4.397165321279317e-05,2.753784428932704e-05,3.643252421170473e-05,3.8382298953365535e-05,3.2717805879656225e-05,2.6959285605698824e-05,6.947889778530225e-05,1.688708107394632e-05
0.7158,5.44614449609071e-05,5.772621079813689e-05,3.5719400329981e-05,3.2931333407759666e-05,4.852987331105396e-05,3.5801938793156296e-05,2.7443265935289674e-05,2.626753666845616e-05,6.250700243981555e-05,1.4215446753951255e-05
0.7579,4.828093369724229e-05,5.686202712240629e-05,3.92277906939853e-05,2.995022623508703e-05,4.5471104385796934e-05,4.170781176071614e-05,2.8120526621933095e-05,2.553878766775597e-05,7.002807251410559e-05,1.3695002053282224e-05
0.8,4.969346264260821e-05,4.4672229705611244e-05,3.917545109288767e-05,3.34098149323836e-05,3.9309528801823035e-05,2.970969580928795e-05,2.676065378182102e-05,2.5351566364406608e-05,2.5566718250047415e-05,1.3955233043816406e-05
0.8222,3.740081228897907e-05,4.5351654989644885e-05,4.091318623977713e-05,3.017778362846002e-05,3.203302912879735e-05,3.036648195120506e-05,2.7890702767763287e-05,2.698837488424033e-05,3.375564847374335e-05,1.3238520295999479e-05
0.8444,4.112045280635357e-05,3.634522727224976e-05,3.564526923582889e-05,3.134331200271845e-05,2.8586517146322876e-05,2.6397063265903853e-05,2.6132111088372767e-05,2.511617640266195e-05,3.771463889279403e-05,1.2440767022781074e-05
0.8667,4.07493207603693e-05,3.465589543338865e-05,3.5055301850661635e-05,3.6804776755161583e-05,3.2545995054533705e-05,2.8284948712098412e-05,3.407979602343403e-05,2.0867671992164105e-05,2.5569739591446705e-05,1.1093077773693949e-05
0.8889,2.989612221426796e-05,3.289949745521881e-05,3.1286512239603326e-05,3.4291289921384305e-05,2.4993214537971653e-05,2.7300317015033215e-05,2.5264613213948905e-05,1.9062299543293193e-05,2.1503834432223812e-05,1.1022955732187256e-05
0.9111,2.4766859496594407e-05,2.8798474886571057e-05,3.574368020053953e-05,3.4822147426893935e-05,2.575698272266891e-05,2.3730406610411592e-05,2.2387113858712837e-05,1.9798620996880345e-05,2.3836082618799992e-05,9.922354365698993e-06
0.9333,1.8896000256063417e-05,2.400174162175972e-05,2.5280844056396745e-05,2.6867115593631752e-05,1.9342451196280308e-05,2.414530717942398e-05,2.3214797693071887e-05,1.9501927454257384e-05,3.646434561233036e-05,9.384032637171913e-06
0.9556,1.2262966265552677e-05,2.001937900786288e-05,1.8163813365390524e-05,2.243066228402313e-05,1.4983044820837677e-05,1.829187385737896e-05,1.9039352991967462e-05,1.7733675122144632e-05,2.0570625565596856e-05,9.337617484561633e-06
0.9778,8.950255505624227e-06,7.751490556984209e-06,1.0890028534049634e-05,1.5580142644466832e-05,1.0578172805253416e-05,2.6554229407338426e-05,1.3752352970186621e-05,1.3384642443270423e-05,2.6308978704037145e-05,8.761898243392352e-06
1.0,1.9210472146369284e-07,1.0121178775079898e-06,1.5102268662303686e-06,2.1585192371276207e-06,2.6877289656113135e-06,5.006023457099218e-06,5.043874352850253e-06,5.8531149988994e-06,7.155942512326874e-06,7.4587342169252224e-06
