corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,4.5608729124069214e-05,4.4508422433864325e-05,4.188392995274626e-05,4.56564812338911e-05,3.897218266502023e-05,4.4599426473723724e-05,2.7774929549195804e-05,2.982548721774947e-05,2.0582048819051124e-05,1.0667080459825229e-05
0.0421,5.1208360673626885e-05,4.7800433094380423e-05,4.674031515605748e-05,5.6577166105853394e-05,4.167472434346564e-05,3.6173270927974954e-05,2.8287824534345418e-05,3.20604485750664e-05,3.768001988646574e-05,1.14283939183224e-05
0.0842,5.65789123356808e-05,5.256870645098388e-05,5.38736603630241e-05,5.012583642383106e-05,4.307471317588352e-05,3.551677946234122e-05,3.269861190347001e-05,2.5979894417105243e-05,4.079286372871138e-05,2.0815214156755246e-05
0.1263,6.430916982935742e-05,4.606775110005401e-05,5.209013761486858e-05,3.9672628190601245e-05,4.433765207068063e-05,3.275433482485823e-05,3.5862147342413664e-05,3.1581901566823944e-05,4.550327139440924e-05,1.8646718672243878e-05
0.1684,5.235576827544719e-05,4.442533463588916e-05,4.650107439374551e-05,4.695967072620988e-05,3.870010550599545e-05,3.5880158975487575e-05,3.309921157779172e-05,2.8296824893914163e-05,5.1169834478059784e-05,2.580225554993376e-05
0.2105,6.438230775529519e-05,4.559448643703945e-05,4.6082604967523366e-05,4.289978096494451e-05,4.0480936149833724e-05,3.895335248671472e-05,3.4739125112537295e-05,3.1647396099288017e-05,5.822367893415503e-05,2.216800203314051e-05
0.2526,5.552368384087458e-05,4.495156099437736e-05,4.525937038124539e-05,4.663286745199002e-05,3.535443829605356e-05,3.604764788178727e-05,3.339448448969051e-05,3.560829645721242e-05,5.037320079281926e-05,1.8748592992778867e-05
0.2947,6.274389306781814e-05,4.295509643270634e-05,4.9561927880859e-05,4.090684888069518e-05,3.660684160422534e-05,3.534249117365107e-05,3.2609052141197026e-05,3.260011726524681e-05,4.415355215314776e-05,2.311356547579635e-05
0.3368,6.478222348960117e-05,4.60821611341089e-05,5.04015370097477e-05,3.9131911762524396e-05,3.631017898442224e-05,3.268581713200547e-05,3.775750519707799e-05,3.80014389520511e-05,6.397016113623977e-05,2.0464944100240245e-05
0.3789,5.505049921339378e-05,5.7749031839193776e-05,4.618887760443613e-05,4.287342744646594e-05,3.915937850251794e-05,3.622208532760851e-05,3.7352267099777237e-05,3.892024324159138e-05,5.3237508836900815e-05,2.2422791516873986e-05
0.4211,5.717302701668814e-05,5.26768526469823e-05,4.940695725963451e-05,3.9843976992415264e-05,3.6344568798085675e-05,3.680737063405104e-05,3.2770745747257024e-05,3.34298747475259e-05,4.063163578393869e-05,2.0228671928634867e-05
0.4632,5.161090666661039e-05,6.184176891110837e-05,5.806127956020646e-05,3.369741534697823e-05,3.7563859223155305e-05,4.1263836465077475e-05,3.435985490796156e-05,3.425560498726554e-05,4.543062095763162e-05,2.0216624761815183e-05
0.5053,6.397905963240191e-05,6.662301166215912e-05,5.7543562434148043e-05,3.3426229492761195e-05,3.9799695514375344e-05,3.744266723515466e-05,3.120038309134543e-05,3.0426554076257162e-05,5.0092417950509116e-05,2.0144874724792317e-05
0.5474,5.360463183023967e-05,5.5895638070069253e-05,5.534887168323621e-05,3.8500744267366827e-05,3.792173811234534e-05,4.284191527403891e-05,3.172316792188212e-05,2.7302436137688346e-05,4.6109787945169955e-05,1.872081156761851e-05
0.5895,5.188880822970532e-05,5.7667301007313654e-05,4.928078851662576e-05,3.909444058081135e-05,3.680623558466323e-05,4.615277794073336e-05,3.4924920328194275e-05,2.684007995412685e-05,4.213672946207225e-05,1.580882235430181e-05
0.6316,5.343167140381411e-05,5.2166298701195046e-05,4.9339265387970954e-05,4.021812856080942e-05,3.954780549975112e-05,4.342547254054807e-05,3.0987586796982214e-05,2.7991391107207164e-05,4.602330955094658e-05,1.69331888173474e-05
0.6737,5.710300320060924e-05,5.027480801800266e-05,5.221004903432913e-05,3.809071858995594e-05,3.362066127010621e-05,3.800508420681581e-05,2.786746517813299e-05,2.575652615632862e-05,7.062737859087065e-05,1.593524939380586e-05
0.7158,4.8560003051534295e-05,5.981734284432605e-05,4.5840406528441235e-05,3.2191877835430205e-05,3.637428017100319e-05,3.304618803667836e-05,2.570149808889255e-05,3.0219203836168163e-05,6.791882333345711e-05,1.4122108950687107e-05
0.7579,4.6866745833540335e-05,5.26041112607345e-05,5.372525629354641e-05,3.1870920793153346e-05,3.9751936128595844e-05,2.8750020646839403e-05,2.483553544152528e-05,2.675322502909694e-05,5.32605336047709e-05,1.4491012734652031e-05
0.8,4.646729212254286e-05,4.834191349800676e-05,4.265708412276581e-05,3.304816709714942e-05,2.728465187828988e-05,2.680847501324024e-05,2.556269282649737e-05,2.271574703627266e-05,3.280384044046514e-05,1.30476992126205e-05
0.8222,3.8745758502045646e-05,4.6071323595242575e-05,4.573254409478977e-05,3.467876376817003e-05,2.5124110834440216e-05,2.6711415557656437e-05,2.617192149045877e-05,2.1372976334532723e-05,3.0511640943586826e-05,1.2687042726611253e-05
0.8444,3.117212690995075e-05,3.320681571494788e-05,5.2331120969029143e-05,2.939291880466044e-05,2.6111281840712763e-05,2.328784466953948e-05,2.3856038751546293e-05,2.55190534517169e-05,2.8721551643684506e-05,1.2085655725968536e-05
0.8667,3.061385723412968e-05,3.19688770105131e-05,4.3201569496886805e-05,3.6258592444937676e-05,2.9233287932584062e-05,2.60391734627774e-05,2.3645990950171836e-05,2.312469223397784e-05,2.5901428671204485e-05,1.1650315173028503e-05
0.8889,2.4261240469058976e-05,2.941437196568586e-05,3.8449121348094195e-05,3.650288635981269e-05,2.5560633730492555e-05,3.151794953737408e-05,2.2061398340156302e-05,1.8475564502296038e-05,2.4865177692845464e-05,9.849360139924102e-06
