corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,4.489046841626987e-05,6.362716521834955e-05,5.218717342359014e-05,5.515732482308522e-05,4.557699867291376e-05,5.329020495992154e-05,3.349909093230963e-05,3.182947693858296e-05,2.626375680847559e-05,1.1679579074552748e-05
0.0421,5.2917417633580044e-05,5.695581785403192e-05,5.736368984798901e-05,5.5965272622415796e-05,5.2319133828859776e-05,4.764502955367789e-05,3.600607669795863e-05,3.201329673174769e-05,2.6876816264120862e-05,1.4086374903854448e-05
0.0842,5.5523367336718366e-05,5.743669316871092e-05,6.1026657931506634e-05,5.215103010414168e-05,4.8959929699776694e-05,4.139383236179128e-05,3.628793638199568e-05,2.8855609343736432e-05,4.257911496097222e-05,9.474020771449432e-06
0.1263,6.499895971501246e-05,6.701044185319915e-05,5.091766797704622e-05,5.764339221059345e-05,5.4824464314151555e-05,4.037710095872171e-05,3.376836684765294e-05,3.239787110942416e-05,5.741957647842355e-05,2.022908847720828e-05
0.1684,5.359437273000367e-05,5.256750955595635e-05,5.440899622044526e-05,5.0903992814710364e-05,4.6462693717330694e-05,4.4582164264284074e-05,3.517822551657446e-05,3.0133947802823968e-05,6.245134136406705e-05,2.4514934921171516e-05
0.2105,5.540184793062508e-05,5.09242236148566e-05,5.8377921959618106e-05,4.629415343515575e-05,4.51858140877448e-05,4.243369767209515e-05,3.1828280043555424e-05,3.037226815649774e-05,6.404811574611813e-05,1.5417075701407157e-05
0.2526,6.266713899094611e-05,6.311412289505824e-05,7.131892925826833e-05,5.7568639022065327e-05,4.430059198057279e-05,3.804851075983606e-05,3.945621210732497e-05,3.390369238331914e-05,5.902612610952929e-05,2.8611058951355517e-05
0.2947,5.5304011766565964e-05,6.631932774325833e-05,5.876889554201625e-05,6.157976895337924e-05,4.6775956434430555e-05,4.229404294164851e-05,3.699062654050067e-05,3.407843178138137e-05,6.830897473264486e-05,1.6794412658782676e-05
0.3368,5.746026727138087e-05,6.058892540750094e-05,5.7590332289692014e-05,5.9707279433496296e-05,4.323531175032258e-05,3.868089697789401e-05,3.821821519522928e-05,2.9396127501968294e-05,5.455420250655152e-05,2.0897721697110683e-05
0.3789,5.156522456672974e-05,6.960303289815784e-05,5.124445669935085e-05,4.953500319970772e-05,4.9346093874191865e-05,4.318176070228219e-05,3.743118213606067e-05,3.491292227408849e-05,6.267373828450218e-05,1.8325923520023935e-05
0.4211,4.920829815091565e-05,5.940473420196213e-05,5.227198562351987e-05,4.665598680730909e-05,4.9071659304900095e-05,5.1367587730055675e-05,3.5631655919132754e-05,3.4432967368047684e-05,3.6444263969315216e-05,1.8349834135733545e-05
0.4632,5.3317140555009246e-05,7.900663331383839e-05,5.732076533604413e-05,3.699458102346398e-05,4.012355566374026e-05,5.2436018449952826e-05,3.6813769838772714e-05,3.44103027600795e-05,5.144750321051106e-05,1.7007276255753823e-05
0.5053,6.443593156291172e-05,6.350976036628708e-05,5.8231657021678984e-05,4.054029341205023e-05,4.422838901518844e-05,4.487051774049178e-05,3.177868347847834e-05,2.9421376893878914e-05,6.047222632332705e-05,1.4355109669850208e-05
