corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,1.7844795365817845e-05,2.0501413018791936e-05,7.147654105210677e-05,2.792532541207038e-05,1.8058373825624585e-05,4.2742001824080944e-05,3.5136697988491505e-05,1.487217377871275e-05,1.3459205547405872e-05,5.9474325098562986e-05
0.0421,1.7314727301709354e-05,2.6850460926652886e-05,1.4281272342486773e-05,2.60590786638204e-05,2.4890765416785143e-05,3.212760930182412e-05,2.9734954296145588e-05,2.1050163923064247e-05,1.995197089854628e-05,5.9184978454140946e-05
0.0842,2.287406096002087e-05,1.4892295439494774e-05,2.5429499146412127e-05,1.3835932804795448e-05,2.127741936419625e-05,1.995115599129349e-05,1.6067606338765472e-05,2.6988634999725036e-05,2.2209684175322764e-05,5.503693319042213e-05
0.1263,2.099864104820881e-05,2.0847330233664252e-05,2.007136026804801e-05,1.669861376285553e-05,1.7105536244343966e-05,1.4705840840179008e-05,1.6363930626539513e-05,1.8291621017851867e-05,2.02547489607241e-05,5.6275908718816936e-05
0.1684,2.1740863303421065e-05,1.5570441973977722e-05,2.5363844542880543e-05,2.4447383111692034e-05,1.4911298421793617e-05,4.243277362547815e-05,1.748516115185339e-05,2.115775532729458e-05,1.5181618437054567e-05,5.645103374263272e-05
0.2105,1.6897396562853828e-05,1.9048909962293692e-05,1.654358311498072e-05,1.3789898730465211e-05,1.5020850696600974e-05,8.501361298840493e-05,1.9139086361974478e-05,2.656040851434227e-05,1.6018586393329315e-05,5.654211054206826e-05
0.2526,1.7665593986748718e-05,1.685578354226891e-05,1.7298256352660246e-05,3.0181414331309497e-05,2.2607811843045056e-05,7.031823770375922e-05,1.9686256564455107e-05,2.3018730644253083e-05,1.4910006029822398e-05,5.455846621771343e-05
0.2947,2.7462258003652096e-05,1.5797953892615624e-05,1.841723315010313e-05,2.2398680812329985e-05,2.3682598111918196e-05,7.735459803370759e-05,2.1995363567839377e-05,2.612185198813677e-05,1.5223658920149319e-05,4.9625970859779045e-05
0.3368,2.335197314096149e-05,1.753700416884385e-05,3.7071728002047166e-05,1.766431341820862e-05,5.0136812205892056e-05,6.323033449007198e-05,2.0892572138109244e-05,2.259276334370952e-05,1.5418521797982976e-05,4.5727800170425326e-05
0.3789,3.0087385312072e-05,2.555903665779624e-05,2.6175697712460533e-05,2.1747784558101557e-05,6.229645805433393e-05,5.3770243539474905e-05,2.2437365259975195e-05,1.7339116311632097e-05,1.683162736298982e-05,4.5005006541032344e-05
