corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,3.090973405051045e-05,2.012758886849042e-05,1.8173319404013455e-05,1.901518044178374e-05,1.9585273548727855e-05,1.848709325713571e-05,1.6982074157567695e-05,1.939619323820807e-05,2.164855868613813e-05,9.243017120752484e-05
0.0421,2.9760416509816423e-05,2.1650972485076636e-05,3.071017999900505e-05,1.8433673176332377e-05,1.8008937331615016e-05,2.033317468885798e-05,2.2526266548084095e-05,2.3666696506552398e-05,3.687800563056953e-05,8.568533667130396e-05
0.0842,2.8769021810148843e-05,1.826900552259758e-05,2.6878546123043634e-05,2.08790061151376e-05,1.9999675714643672e-05,2.2609759980696253e-05,2.16210974031128e-05,3.069085141760297e-05,3.0428647733060643e-05,5.8422392612555996e-05
0.1263,3.54243275069166e-05,1.7851090888143517e-05,2.0842975573032163e-05,2.035756733675953e-05,2.784317621262744e-05,2.0946125005139038e-05,1.8653736333362758e-05,2.5796860427362844e-05,2.620270606712438e-05,6.0127171309432015e-05
0.1684,3.5991626646136865e-05,1.8494321921025403e-05,2.110370041918941e-05,2.2521709979628213e-05,2.3440932636731304e-05,2.218356166849844e-05,1.781993887561839e-05,5.1185645133955404e-05,2.7700414648279548e-05,6.142686470411718e-05
0.2105,3.376806489541195e-05,2.2852214897284284e-05,2.3113454517442733e-05,2.1568626834778115e-05,2.6992824132321402e-05,2.3157717805588618e-05,3.8085185224190354e-05,3.472576281637885e-05,2.4005448722164147e-05,5.658236477756873e-05
0.2526,3.22816995321773e-05,2.486482117092237e-05,2.2698612156091258e-05,1.9351482478668913e-05,2.6614483431330882e-05,2.7476091418066062e-05,2.8106178433517925e-05,3.664812174974941e-05,2.133379348379094e-05,5.3851839766139165e-05
0.2947,3.831587309832685e-05,3.2039344660006464e-05,2.130904067598749e-05,2.410240631434135e-05,3.559752803994343e-05,2.636754470586311e-05,2.801501250360161e-05,5.263434650260024e-05,2.5066803573281504e-05,5.3390682296594605e-05
0.3368,4.0401791920885444e-05,4.127689317101613e-05,2.042426058324054e-05,2.9226719561847858e-05,3.0824106943327934e-05,3.486908462946303e-05,3.083474075538106e-05,2.4606804799987003e-05,2.6004418032243848e-05,4.946778790326789e-05
0.3789,3.839483906631358e-05,4.132391040911898e-05,2.593838689790573e-05,2.393066642980557e-05,2.589207906567026e-05,2.0972080164938234e-05,2.7236217647441663e-05,2.660900827322621e-05,2.6653422537492588e-05,4.7498262574663386e-05
0.4211,4.364400592749007e-05,3.50077280018013e-05,3.3483869628980756e-05,3.740727697731927e-05,2.1431822460726835e-05,2.1072071831440553e-05,3.530150934238918e-05,2.8547556212288328e-05,3.302182085462846e-05,4.5132383093005046e-05
0.4632,4.5544929889729246e-05,3.842420846922323e-05,3.637574991444126e-05,4.0041959437076e-05,2.3642085579922423e-05,2.1298188585205935e-05,2.9144526706659235e-05,2.5998182536568493e-05,2.2447424271376804e-05,4.324216570239514e-05
0.5053,4.277241532690823e-05,3.498602382023819e-05,5.0820730393752456e-05,3.0183900889824145e-05,2.0809391571674496e-05,3.0439843612839468e-05,2.3784532459103502e-05,3.367405224707909e-05,2.646178108989261e-05,4.173322668066248e-05
0.5474,4.049042036058381e-05,3.885734622599557e-05,5.0735834520310163e-05,2.904925713664852e-05,2.577663144620601e-05,3.355107764946297e-05,4.456490933080204e-05,2.4435687009827234e-05,2.5181381715810858e-05,4.0275022911373526e-05
0.5895,5.8460471336729825e-05,4.033323784824461e-05,5.901121403439902e-05,2.6338500902056694e-05,2.2637215806753375e-05,3.8578866224270314e-05,3.8108828448457643e-05,2.167287857446354e-05,2.2851991161587648e-05,3.932888284907676e-05
