corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,1.43935285450425e-05,1.937227716553025e-05,2.153645982616581e-05,1.6123503883136436e-05,1.5077521311468445e-05,2.2651109247817658e-05,1.624748438189272e-05,2.32684124057414e-05,2.328760274394881e-05,6.99127558618784e-05
0.0421,3.3289092243649065e-05,2.1828262106282637e-05,1.174099543277407e-05,1.759423867042642e-05,1.4782271136937197e-05,2.7778796720667742e-05,1.857967254181858e-05,1.842865276557859e-05,2.4860853955033235e-05,6.884997856104746e-05
0.0842,2.95443842333043e-05,2.0874294932582416e-05,1.6932246580836363e-05,1.6186197171919048e-05,1.5031759176054038e-05,2.4261209546239115e-05,1.6461619452456944e-05,1.6206695363507606e-05,3.613952503656037e-05,6.862768350401893e-05
0.1263,2.5180786906275898e-05,2.785955621220637e-05,2.519496229069773e-05,2.0854477043030784e-05,2.1389876565081067e-05,2.283337016706355e-05,1.516145948698977e-05,1.7016081983456388e-05,2.9458875360433012e-05,6.57174750813283e-05
0.1684,2.5158535208902322e-05,2.792782470351085e-05,1.4685586393170524e-05,1.8983237168868072e-05,1.8856761016650125e-05,2.336356556043029e-05,1.8789547539199702e-05,2.5279716282966547e-05,2.7962798412772827e-05,6.398822006303817e-05
0.2105,1.93849227798637e-05,2.6811103452928364e-05,1.7476513676228933e-05,1.5543284462182783e-05,1.735893965815194e-05,2.799668254738208e-05,2.197928370151203e-05,2.501974995539058e-05,2.1356961951823905e-05,6.214308814378455e-05
0.2526,2.0899462469969876e-05,2.311164644197561e-05,2.3340755433309823e-05,2.2608068320550956e-05,2.4924142053350806e-05,2.581873741291929e-05,2.6940817406284623e-05,3.037384885828942e-05,3.2853702577995136e-05,5.9139623772352934e-05
0.2947,2.6352890927228145e-05,1.9183647964382544e-05,2.288615723955445e-05,3.10880241158884e-05,2.346176734135952e-05,2.5640118110459298e-05,2.594582474557683e-05,2.8827733331127092e-05,3.121963527519256e-05,5.571481233346276e-05
0.3368,2.9293883926584385e-05,2.4456441678921692e-05,2.1820027541252784e-05,2.114696144417394e-05,2.4672006475157104e-05,3.0525152396876365e-05,2.5038454623427242e-05,2.4959141228464432e-05,2.5747260224306956e-05,5.230899841990322e-05
0.3789,2.7051926736021414e-05,2.7017960746889003e-05,1.8431815988151357e-05,3.227954948670231e-05,2.0460178348002955e-05,2.4083985408651643e-05,2.3820428395993076e-05,2.4263095838250592e-05,2.7346692149876617e-05,4.913766679237597e-05
0.4211,2.7735539333662018e-05,2.3279966626432724e-05,1.983849870157428e-05,3.4381704608676955e-05,2.2233907657209784e-05,2.8977146939723752e-05,2.2084164811531082e-05,3.491166353342123e-05,2.4947928977780975e-05,4.570057353703305e-05
0.4632,2.971640060422942e-05,2.608844260976184e-05,2.245381983811967e-05,3.390691927052103e-05,2.1263573216856457e-05,2.8090395062463358e-05,2.9132308554835618e-05,3.487331923679449e-05,1.9858169252984226e-05,4.281635119696148e-05
0.5053,3.516026845318265e-05,2.868422234314494e-05,2.7420977858128026e-05,2.476548615959473e-05,2.216736538684927e-05,3.079008456552401e-05,4.4726992200594395e-05,2.556816252763383e-05,1.988722760870587e-05,4.019136758870445e-05
0.5474,3.4573731682030484e-05,3.1499843316851184e-05,1.9599956431193277e-05,2.9621967769344337e-05,2.770120590867009e-05,2.3910497475299053e-05,4.478924529394135e-05,2.4211802156060003e-05,2.2673459170619026e-05,3.631231084000319e-05
0.5895,3.0770541343372315e-05,3.0213428544811904e-05,2.340339051443152e-05,3.162297434755601e-05,3.205753455404192e-05,2.316686550329905e-05,2.920509723480791e-05,2.6727220756583847e-05,1.992676880036015e-05,3.341286355862394e-05
0.6316,3.214968091924675e-05,2.645239328558091e-05,3.0074284950387664e-05,3.0228387913666666e-05,3.4139655326725915e-05,2.1751018721261062e-05,4.2788960854522884e-05,1.852096465881914e-05,1.7151787687907927e-05,3.0079461794230156e-05
0.6737,3.300607204437256e-05,3.1788011256139725e-05,2.7534717446542345e-05,2.7733587558032013e-05,2.923422471212689e-05,2.6819772756425664e-05,4.8388181312475353e-05,1.7994168956647627e-05,1.6343386960215867e-05,2.709574437176343e-05
0.7158,3.6815268686041236e-05,3.089545134571381e-05,3.83122569473926e-05,2.3554448489448987e-05,3.210529393982142e-05,2.0604107703547925e-05,4.725168037111871e-05,3.315911453682929e-05,1.667742799327243e-05,2.352792762394529e-05
0.7579,3.0813098419457674e-05,3.7128269468666986e-05,2.732791290327441e-05,2.2992999220150523e-05,3.087009827140719e-05,2.025286084972322e-05,3.934734559152275e-05,2.2563184757018462e-05,1.4402126907953061e-05,2.0575718735926785e-05
0.8,2.899349419749342e-05,3.654435568023473e-05,2.4789562303340062e-05,3.29023168887943e-05,1.737256025080569e-05,2.083997242152691e-05,2.6056030037580058e-05,3.148661198792979e-05,1.3592600225820206e-05,1.7863241737359203e-05
0.8222,2.4091195882647298e-05,2.968077751575038e-05,2.9916185667389072e-05,2.7844040232594125e-05,3.8219757698243484e-05,1.7426178601454012e-05,2.7365149435354397e-05,3.106297299382277e-05,1.5189532859949395e-05,1.6558913557673804e-05
0.8444,1.983959009521641e-05,3.211986768292263e-05,2.031918484135531e-05,2.5554181775078177e-05,3.171965363435447e-05,1.7112672139774077e-05,4.094871474080719e-05,2.282550121890381e-05,1.2951899407198653e-05,1.5400577467516996e-05
0.8667,1.7270625903620385e-05,3.0178904125932604e-05,4.2443483835086226e-05,1.886780228232965e-05,1.894781416922342e-05,3.100977846770547e-05,3.9309852581936866e-05,2.10493708436843e-05,1.1123881449748296e-05,1.4223942343960516e-05
