corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19
0.0,4.905332389171235e-05,5.8649307902669534e-05,4.926271867589094e-05,4.508797428570688e-05,6.924778426764533e-05,5.347972910385579e-05,5.490325202117674e-05,5.1750525017268956e-05,6.60888763377443e-05,5.499311373569071e-05,5.3043993830215186e-05,5.126843461766839e-05,5.2556417358573526e-05,5.3391806432045996e-05,3.861357981804758e-05,4.3200092477491125e-05,2.9741415346506983e-05,3.314205605420284e-05,2.159079485863913e-05,1.8709546566242352e-05
0.0421,5.101331407786347e-05,5.931680425419472e-05,5.4336262110155076e-05,4.514035754255019e-05,5.107864853926003e-05,4.99533889524173e-05,5.1311133574927226e-05,5.588190470007248e-05,5.678705929312855e-05,5.3853917052038014e-05,4.804138370673172e-05,4.299224747228436e-05,4.773995897267014e-05,3.6311004805611446e-05,3.4994845918845385e-05,4.8319594498025253e-05,3.161590575473383e-05,3.695645136758685e-05,2.6131185222766362e-05,3.5766453947871923e-05
0.0842,4.542249735095538e-05,5.972279541310854e-05,4.945186447002925e-05,4.823833660339005e-05,6.045263580745086e-05,4.6953209675848484e-05,5.0066773837897927e-05,6.330671021714807e-05,5.257879092823714e-05,5.2581122872652486e-05,4.899761188426055e-05,4.474091838346794e-05,4.4754560803994536e-05,4.154350244789384e-05,4.1019811760634184e-05,4.739186624647118e-05,3.626176476245746e-05,3.7110417906660587e-05,2.4041799406404607e-05,2.953313014586456e-05
0.1263,4.537102722679265e-05,7.214744982775301e-05,4.612618431565352e-05,5.4704378271708265e-05,5.8801564591703936e-05,4.9862654122989625e-05,4.6659173676744103e-05,5.35598628630396e-05,5.7109260524157435e-05,5.73357283428777e-05,4.421790799824521e-05,3.767780799535103e-05,4.145353159401566e-05,3.457891216385178e-05,3.759388346225023e-05,3.706563438754529e-05,3.214850221411325e-05,4.71211715193931e-05,2.7038091502618045e-05,3.073146581300534e-05
0.1684,3.546943480614573e-05,5.431538011180237e-05,3.848696724162437e-05,6.303629925241694e-05,5.563330341828987e-05,6.0830101574538276e-05,4.691820140578784e-05,4.962685488862917e-05,4.989768422092311e-05,5.5216307373484597e-05,5.1403949328232557e-05,3.996439409093e-05,3.083464616793208e-05,3.4231110475957394e-05,4.096866541658528e-05,6.746587314410135e-05,3.319775714771822e-05,3.149032636429183e-05,3.0302120649139397e-05,3.2612704671919346e-05
0.2105,4.653189535019919e-05,7.057366019580513e-05,4.741321754409e-05,5.167412746232003e-05,5.084878648631275e-05,5.519094702322036e-05,4.395800351630896e-05,5.106484240968712e-05,5.188304203329608e-05,4.1769511881284416e-05,4.2307587136747316e-05,3.468968134257011e-05,3.819326957454905e-05,3.972765262005851e-05,3.9213620766531676e-05,7.440437912009656e-05,4.2572839447529987e-05,4.3143238144693896e-05,2.6146184609388e-05,2.9495451599359512e-05
0.2526,6.098334779380821e-05,7.314981485251337e-05,7.420427573379129e-05,4.5900123950559646e-05,5.658010923070833e-05,5.2345742005854845e-05,4.079752761754207e-05,3.9604179619345814e-05,4.3626336264424026e-05,4.6419161662925035e-05,4.614785939338617e-05,3.728124647750519e-05,3.974343417212367e-05,3.560840923455544e-05,3.678238135762513e-05,4.6110901166684926e-05,3.533423659973778e-05,3.119309985777363e-05,3.56867240043357e-05,3.455357364146039e-05
0.2947,5.6272143410751596e-05,6.992070120759308e-05,5.890694592380896e-05,5.306910315994173e-05,5.154851169208996e-05,4.902953151031397e-05,4.45616569777485e-05,4.957671626470983e-05,4.666974928113632e-05,4.107949644094333e-05,4.160044409218244e-05,3.680944428197108e-05,3.96695286326576e-05,3.982325870310888e-05,3.41225131705869e-05,8.90839146450162e-05,4.3087748053949326e-05,3.876857954310253e-05,3.619498966145329e-05,3.311012187623419e-05
0.3368,6.209241109900177e-05,5.671985127264634e-05,5.215448254602961e-05,4.844895374844782e-05,5.0293838285142556e-05,4.695656753028743e-05,4.0884649934014305e-05,4.428156898939051e-05,5.873130794498138e-05,4.204054130241275e-05,4.4964803237235174e-05,3.6987505154684186e-05,3.5573400964494795e-05,3.6074659874429926e-05,3.340765033499338e-05,4.447923492989503e-05,4.171315231360495e-05,4.507730045588687e-05,3.520982863847166e-05,3.267955617047846e-05
0.3789,6.84697151882574e-05,6.216265319380909e-05,5.226673965808004e-05,4.79995142086409e-05,4.797846850124188e-05,5.3616131481248885e-05,3.853984162560664e-05,4.6682038373546675e-05,5.1254166464786977e-05,4.8305457312380895e-05,4.028702460345812e-05,3.655180989881046e-05,3.382002250873484e-05,3.949127494706772e-05,3.59624027623795e-05,8.055693615460768e-05,4.7749705117894337e-05,4.242348586558364e-05,3.836706673610024e-05,2.9672341042896733e-05
0.4211,6.782475975342095e-05,6.755114736733958e-05,4.0613569581182674e-05,5.2569641411537305e-05,4.880787673755549e-05,4.7571877075824887e-05,3.697887950693257e-05,3.802887295023538e-05,4.905572859570384e-05,4.4000156776746735e-05,3.9579208532813936e-05,3.733582707354799e-05,3.2697680580895394e-05,3.9146423659985885e-05,3.439698048168793e-05,5.402048918767832e-05,5.205185152590275e-05,3.522409679135308e-05,4.5241864427225664e-05,2.808560020639561e-05
0.4632,5.539055564440787e-05,5.9275407693348825e-05,3.98065967601724e-05,4.698792326962575e-05,3.6918070691172034e-05,4.9548652896191925e-05,3.702883259393275e-05,4.309052383177914e-05,4.851338599110022e-05,4.145560160395689e-05,4.786135468748398e-05,3.554294380592182e-05,3.2497348001925275e-05,3.828584885923192e-05,3.53287578036543e-05,8.677347068442032e-05,4.178510425845161e-05,5.016112118028104e-05,3.132383790216409e-05,2.6493620680412278e-05
0.5053,7.01043609296903e-05,5.0723851018119603e-05,3.263687904109247e-05,4.0966508095152676e-05,4.10480352002196e-05,5.526294626179151e-05,4.1604518628446385e-05,4.1094663174590096e-05,4.0411658119410276e-05,4.359139347798191e-05,3.7276400689734146e-05,3.0468907425529324e-05,3.2880187063710764e-05,3.9727729017613456e-05,3.2938878575805575e-05,7.910880231065676e-05,5.259783210931346e-05,4.179290044703521e-05,3.099217065027915e-05,2.538953413022682e-05
0.5474,8.647704089526087e-05,6.266581476666033e-05,4.610422911355272e-05,4.3478619772940874e-05,4.6806177124381065e-05,4.96347711305134e-05,3.928886872017756e-05,4.450452615856193e-05,4.9714548367774114e-05,4.126008934690617e-05,3.741719774552621e-05,3.503063999232836e-05,3.6238103348296136e-05,4.26153746957425e-05,3.644857861218043e-05,8.095401426544413e-05,5.015779970563017e-05,3.769779505091719e-05,3.6198227462591603e-05,2.284901165694464e-05
0.5895,7.029480912024155e-05,5.9421461628517136e-05,3.2927546271821484e-05,4.272677324479446e-05,3.961086258641444e-05,4.174675268586725e-05,4.237232496961951e-05,4.585575879900716e-05,4.821755283046514e-05,4.440578413777985e-05,4.1144750866806135e-05,3.754650606424548e-05,3.762878623092547e-05,5.111896462040022e-05,3.6321926017990336e-05,0.00010181593825109303,4.2542655137367547e-05,4.697629265137948e-05,4.058680133312009e-05,1.908798913063947e-05
0.6316,5.700475594494492e-05,4.683570296037942e-05,4.039487612317316e-05,3.2846488466020674e-05,3.645658944151364e-05,4.056913167005405e-05,3.808042310993187e-05,4.348402944742702e-05,4.792827530764043e-05,4.0675211494090036e-05,3.736491271411069e-05,4.295675171306357e-05,3.900552474078722e-05,5.9610461903503165e-05,4.7620153054594994e-05,5.7093799114227295e-05,7.896053284639493e-05,5.7923622080124915e-05,3.66584790754132e-05,1.573255576658994e-05
0.6737,5.108040204504505e-05,5.19366622029338e-05,3.57533099304419e-05,2.9254613764351234e-05,3.86722749681212e-05,4.087090565008111e-05,4.396791337057948e-05,3.984557042713277e-05,3.494890552246943e-05,3.426409239182249e-05,3.77370924979914e-05,3.701409150380641e-05,3.986168667324819e-05,5.324739686329849e-05,4.2934112570947036e-05,9.193357254844159e-05,4.062759398948401e-05,2.9776483643217944e-05,2.842537833203096e-05,1.6607044017291628e-05
0.7158,5.559496275964193e-05,5.638966104015708e-05,3.414381717448123e-05,3.2817464671097696e-05,3.1628405849915e-05,3.467673377599567e-05,3.287928848294541e-05,3.639610804384574e-05,3.2238011044682935e-05,3.1123559892876074e-05,3.508116060402244e-05,3.764348730328493e-05,4.46250633103773e-05,6.199748895596713e-05,5.8549747336655855e-05,8.899447129806504e-05,4.020940832560882e-05,1.883510412881151e-05,4.7897839976940304e-05,1.3806981769448612e-05
